,formula,  lambda,  w_log [K],   mu,Tc,P,prm0,prm1,prm2,prm3
195,H5Te2, 0.772  ,   1058.281,0.13,36.7,300.0,1.0,52.0,5.0,2.0
196,H5Te2, 0.772  ,   1058.281,0.16,28.2,300.0,1.0,52.0,5.0,2.0
197,H5Te2, 0.772  ,   1058.281,0.2,18.39,300.0,1.0,52.0,5.0,2.0
198,HTe, 0.712  ,    781.559,0.1,28.28,150.0,1.0,52.0,1.0,1.0
199,HTe, 0.712  ,    781.559,0.13,21.83,150.0,1.0,52.0,1.0,1.0
200,HTe, 0.712  ,    781.559,0.16,16.1,150.0,1.0,52.0,1.0,1.0
201,HTe, 0.712  ,    781.559,0.2,9.72,150.0,1.0,52.0,1.0,1.0
202,HTe, 0.579  ,    914.586,0.1,18.71,200.0,1.0,52.0,1.0,1.0
203,HTe, 0.579  ,    914.586,0.13,12.85,200.0,1.0,52.0,1.0,1.0
204,HTe, 0.579  ,    914.586,0.16,8.1,200.0,1.0,52.0,1.0,1.0
205,HTe, 0.579  ,    914.586,0.2,3.63,200.0,1.0,52.0,1.0,1.0
206,HTe, 1.0723 ,    573.634,0.1,44.26,300.0,1.0,52.0,1.0,1.0
207,HTe, 1.0723 ,    573.634,0.13,38.52,300.0,1.0,52.0,1.0,1.0
208,HTe, 1.0723 ,    573.634,0.16,33.64,300.0,1.0,52.0,1.0,1.0
209,HTe, 1.0723 ,    573.634,0.2,25.9,300.0,1.0,52.0,1.0,1.0
210,TcH2, 0.467  ,    592    ,0.1,5.42,100.0,43.0,1.0,1.0,2.0
211,TcH2, 0.467  ,    592    ,0.13,3.03,100.0,43.0,1.0,1.0,2.0
212,TcH2, 0.473  ,    651    ,0.1,6.31,150.0,43.0,1.0,1.0,2.0
213,TcH2, 0.473  ,    651    ,0.13,3.58,150.0,43.0,1.0,1.0,2.0
214,TcH2, 0.523  ,    736    ,0.1,10.65,200.0,43.0,1.0,1.0,2.0
215,TcH2, 0.523  ,    736    ,0.13,6.73,200.0,43.0,1.0,1.0,2.0
216,TcH2, 0.486  ,    793    ,0.1,8.61,300.0,43.0,1.0,1.0,2.0
217,TcH2, 0.486  ,    793    ,0.13,5.05,300.0,43.0,1.0,1.0,2.0
218,TcH3, 0.531  ,    620    ,0.1,9.94,300.0,43.0,1.0,1.0,3.0
219,TcH3, 0.531  ,    620    ,0.13,6.74,300.0,43.0,1.0,1.0,3.0
220,OsH, 0.42   ,    347.84 ,0.1,2.1,100.0,76.0,1.0,1.0,1.0
221,NbH, 0.51   ,    188    ,0.1,2.4,0.0001,41.0,1.0,1.0,1.0
222,NbH, 0.51   ,    188    ,0.13,1.5,0.0001,41.0,1.0,1.0,1.0
223,NbH2, 0.48   ,    251    ,0.1,2.6,0.0001,41.0,1.0,1.0,2.0
224,NbH2, 0.48   ,    251    ,0.13,1.5,0.0001,41.0,1.0,1.0,2.0
225,NbH2, 0.41   ,    303    ,0.1,1.5,50.0,41.0,1.0,1.0,2.0
226,NbH2, 0.41   ,    303    ,0.13,0.7,50.0,41.0,1.0,1.0,2.0
227,NbH4, 0.82   ,    938    ,0.1,47.0,300.0,41.0,1.0,1.0,4.0
228,NbH4, 0.82   ,    938    ,0.13,38.0,300.0,41.0,1.0,1.0,4.0
229,CaH6,        ,           ,0.1,172.0,150.0,20.0,1.0,1.0,6.0
230,CaH6,        ,           ,0.13,163.0,150.0,20.0,1.0,1.0,6.0
231,KH6, 0.91   ,   1164.72 ,0.13,58.66,166.0,19.0,1.0,1.0,6.0
232,KH6, 0.91   ,   1164.72 ,0.1,69.84,166.0,19.0,1.0,1.0,6.0
233,KH6,        ,           ,0.13,57.95,230.0,19.0,1.0,1.0,6.0
234,KH6,        ,           ,0.1,69.6,230.0,19.0,1.0,1.0,6.0
235,KH6,        ,           ,0.13,46.05,300.0,19.0,1.0,1.0,6.0
236,KH6,        ,           ,0.1,57.42,300.0,19.0,1.0,1.0,6.0
237,BiH, 0.76   ,    699.17 ,0.1,29.4,250.0,83.0,1.0,1.0,1.0
238,BiH, 0.76   ,    699.17 ,0.13,23.32,250.0,83.0,1.0,1.0,1.0
239,BiH, 0.61   ,    792.43 ,0.1,19.04,300.0,83.0,1.0,1.0,1.0
240,BiH, 0.61   ,    792.43 ,0.13,13.55,300.0,83.0,1.0,1.0,1.0
241,BiH2, 1.34   ,    506.80 ,0.1,51.54,150.0,83.0,1.0,1.0,2.0
242,BiH2, 1.34   ,    506.80 ,0.13,46.41,150.0,83.0,1.0,1.0,2.0
243,BiH2, 1.07   ,    706.70 ,0.1,54.38,200.0,83.0,1.0,1.0,2.0
244,BiH2, 1.07   ,    706.70 ,0.13,47.31,200.0,83.0,1.0,1.0,2.0
245,BiH2, 0.99   ,    841.53 ,0.1,57.7,250.0,83.0,1.0,1.0,2.0
246,BiH2, 0.99   ,    841.53 ,0.13,49.42,250.0,83.0,1.0,1.0,2.0
247,BiH2, 0.96   ,    917.48 ,0.1,59.91,300.0,83.0,1.0,1.0,2.0
248,BiH2, 0.96   ,    917.48 ,0.13,50.95,300.0,83.0,1.0,1.0,2.0
249,BiH4, 1.27   ,    864.72 ,0.1,82.82,150.0,83.0,1.0,1.0,4.0
250,BiH4, 1.27   ,    864.72 ,0.13,74.06,150.0,83.0,1.0,1.0,4.0
251,BiH4, 1.10   ,   1008.85 ,0.1,80.67,200.0,83.0,1.0,1.0,4.0
252,BiH4, 1.10   ,   1008.85 ,0.13,70.54,200.0,83.0,1.0,1.0,4.0
253,BiH4, 0.97   ,   1101.09 ,0.1,73.11,250.0,83.0,1.0,1.0,4.0
254,BiH4, 0.97   ,   1101.09 ,0.13,62.33,250.0,83.0,1.0,1.0,4.0
255,BiH4, 0.92   ,   1150.38 ,0.1,69.99,300.0,83.0,1.0,1.0,4.0
256,BiH4, 0.92   ,   1150.38 ,0.13,58.92,300.0,83.0,1.0,1.0,4.0
257,BiH5, 1.23   ,   1021.90 ,0.1,94.27,200.0,83.0,1.0,1.0,5.0
258,BiH5, 1.23   ,   1021.90 ,0.13,83.92,200.0,83.0,1.0,1.0,5.0
259,BiH5, 1.45   ,    801.68 ,0.1,88.44,250.0,83.0,1.0,1.0,5.0
260,BiH5, 1.45   ,    801.68 ,0.13,80.36,250.0,83.0,1.0,1.0,5.0
261,BiH5, 1.20   ,   1220.96 ,0.1,109.31,300.0,83.0,1.0,1.0,5.0
262,BiH5, 1.20   ,   1220.96 ,0.13,96.96,300.0,83.0,1.0,1.0,5.0
263,BiH6, 1.26   ,    934.62 ,0.1,88.73,200.0,83.0,1.0,1.0,6.0
264,BiH6, 1.26   ,    934.62 ,0.13,79.24,200.0,83.0,1.0,1.0,6.0
265,BiH6, 1.24   ,   1035.33 ,0.1,96.43,250.0,83.0,1.0,1.0,6.0
266,BiH6, 1.24   ,   1035.33 ,0.13,85.95,250.0,83.0,1.0,1.0,6.0
267,BiH6, 1.23   ,   1102.82 ,0.1,101.74,300.0,83.0,1.0,1.0,6.0
268,BiH6, 1.23   ,   1102.82 ,0.13,90.57,300.0,83.0,1.0,1.0,6.0
269,BeH2, 0.63   ,   1729    ,0.12,38.0,250.0,4.0,1.0,1.0,2.0
270,BeH2,        ,           ,0.12,41.0,300.0,4.0,1.0,1.0,2.0
271,MgH2, 0.58   ,   1111    ,0.13,16.0,180.0,12.0,1.0,1.0,2.0
272,MgH2, 0.58   ,   1111    ,0.1,23.0,180.0,12.0,1.0,1.0,2.0
273,MgH4, 0.74   ,    941    ,0.13,29.0,100.0,12.0,1.0,1.0,4.0
274,MgH4, 0.74   ,    941    ,0.1,37.0,100.0,12.0,1.0,1.0,4.0
275,MgH12, 0.73   ,   1554    ,0.13,47.0,140.0,12.0,1.0,1.0,12.0
276,MgH12, 0.73   ,   1554    ,0.1,60.0,140.0,12.0,1.0,1.0,12.0
277,BaH6, 0.77   ,    878    ,0.13,30.0,100.0,56.0,1.0,1.0,6.0
278,BaH6, 0.77   ,    878    ,0.1,38.0,100.0,56.0,1.0,1.0,6.0
279,BaH2, 0.22   ,    780    ,0.1,0.004,60.0,56.0,1.0,1.0,2.0
280,BaH2, 0.22   ,    780    ,0.12,0.0002,60.0,56.0,1.0,1.0,2.0
281,AsH, 0.59   ,    995    ,0.1,21.2,300.0,33.0,1.0,1.0,1.0
282,AsH, 0.55   ,   1166    ,0.1,20.2,400.0,33.0,1.0,1.0,1.0
283,AsH8, 1.50   ,   1240    ,0.1,141.0,350.0,33.0,1.0,1.0,8.0
284,AsH8, 1.63   ,   1169    ,0.1,143.9,400.0,33.0,1.0,1.0,8.0
285,AsH8, 1.77   ,   1153    ,0.1,151.4,450.0,33.0,1.0,1.0,8.0
286,SbH, 0.57   ,    736    ,0.1,14.6,175.0,51.0,1.0,1.0,1.0
287,SbH, 0.51   ,    820    ,0.1,10.5,215.0,51.0,1.0,1.0,1.0
288,SbH, 0.47   ,    877    ,0.1,8.5,255.0,51.0,1.0,1.0,1.0
289,SbH, 0.45   ,    890    ,0.1,6.8,295.0,51.0,1.0,1.0,1.0
