formula,P,Tc,AD
ErH10,200,178,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
BaH8,150,178,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
CaH10,100,178,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
HoH10,150,178,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
H10Os,100,178,[ 1.  1. -1. -1. -1. -1. -1.  1.  1.  1.]
NbH10,100,177,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
SmH9,300,177,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
GdH10,300,177,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
HfH8,300,177,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
H10C,300,177,[-1. -1. -1. -1. -1. -1. -1. -1.  1.  1.]
SrH8,150,177,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
MoH7,300,177,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
H10W,100,177,[ 1.  1.  1.  1.  1.  1. -1.  1.  1.  1.]
TmH10,250,177,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
BaH8,100,176,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
NdH9,200,176,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
ZrH9,200,176,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
CaH9,200,176,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
ErH10,150,176,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
HoH10,100,176,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
H9C,300,176,[-1. -1. -1. -1. -1. -1. -1. -1.  1.  1.]
TmH10,200,175,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
H10C,250,175,[-1. -1. -1. -1. -1. -1. -1. -1.  1.  1.]
SrH8,100,175,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
HfH8,250,175,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
SmH9,250,175,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
MoH7,250,175,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
GdH10,250,175,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
CaH9,150,174,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
ZrH9,150,174,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
ErH10,100,174,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
NdH9,150,174,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
ScH10,300,174,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
H9C,250,174,[-1. -1. -1. -1. -1. -1. -1. -1.  1.  1.]
H8C,300,173,[-1. -1. -1. -1. -1. -1. -1. -1.  1.  1.]
GdH10,200,173,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
CaH8,300,173,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
MoH7,200,173,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
TmH10,150,173,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
H10C,200,173,[-1. -1. -1. -1. -1. -1. -1. -1.  1.  1.]
SmH9,200,173,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
TaH9,300,173,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
NbH9,300,173,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
HfH8,200,173,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
NdH9,100,172,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
ZrH9,100,172,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
HoH9,300,172,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
TiH10,300,172,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
CaH9,100,172,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
H9C,200,172,[-1. -1. -1. -1. -1. -1. -1. -1.  1.  1.]
SmH9,150,171,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
H10C,150,171,[-1. -1. -1. -1. -1. -1. -1. -1.  1.  1.]
GdH10,150,171,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
CaH8,250,171,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
ErH9,300,171,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
ScH10,250,171,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
MoH7,150,171,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
TmH10,100,171,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
TaH9,250,171,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
NbH9,250,171,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
H8C,250,171,[-1. -1. -1. -1. -1. -1. -1. -1.  1.  1.]
HfH8,150,171,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
Ca2H,300,171,[-1. -1. -1. -1. -1. -1. -1. -1. -1. -1.]
H9Os,300,170,[ 1.  1.  1. -1. -1. -1. -1.  1.  1.  1.]
VH10,300,170,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
H9W,300,170,[ 1.  1.  1.  1.  1.  1. -1.  1.  1.  1.]
TiH10,250,170,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
HoH9,250,170,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
H9C,150,170,[-1. -1. -1. -1. -1. -1. -1. -1.  1.  1.]
HfH8,100,169,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
Ca2H,250,169,[-1. -1. -1. -1. -1. -1. -1. -1. -1. -1.]
CaH8,200,169,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
TaH9,200,169,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
ScH10,200,169,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
ErH9,250,169,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
SmH9,100,169,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
NbH9,200,169,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
H10C,100,169,[-1. -1. -1. -1. -1. -1. -1. -1.  1.  1.]
GdH10,100,169,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
MoH7,100,169,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
TmH9,300,169,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
H8C,200,169,[-1. -1. -1. -1. -1. -1. -1. -1.  1.  1.]
SrH7,300,168,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
TiH10,200,168,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
H9O,300,168,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
H10O,300,168,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
H9C,100,168,[-1. -1. -1. -1. -1. -1. -1. -1.  1.  1.]
