,formula,Tc,P,prm0,prm1,prm2,prm3
239,BiH,19.04,300.0,83.0,1.0,1.0,1.0
240,BiH,13.55,300.0,83.0,1.0,1.0,1.0
241,BiH2,51.54,150.0,83.0,1.0,1.0,2.0
242,BiH2,46.41,150.0,83.0,1.0,1.0,2.0
243,BiH2,54.38,200.0,83.0,1.0,1.0,2.0
244,BiH2,47.31,200.0,83.0,1.0,1.0,2.0
245,BiH2,57.7,250.0,83.0,1.0,1.0,2.0
246,BiH2,49.42,250.0,83.0,1.0,1.0,2.0
247,BiH2,59.91,300.0,83.0,1.0,1.0,2.0
248,BiH2,50.95,300.0,83.0,1.0,1.0,2.0
249,BiH4,82.82,150.0,83.0,1.0,1.0,4.0
250,BiH4,74.06,150.0,83.0,1.0,1.0,4.0
251,BiH4,80.67,200.0,83.0,1.0,1.0,4.0
252,BiH4,70.54,200.0,83.0,1.0,1.0,4.0
253,BiH4,73.11,250.0,83.0,1.0,1.0,4.0
254,BiH4,62.33,250.0,83.0,1.0,1.0,4.0
255,BiH4,69.99,300.0,83.0,1.0,1.0,4.0
256,BiH4,58.92,300.0,83.0,1.0,1.0,4.0
257,BiH5,94.27,200.0,83.0,1.0,1.0,5.0
258,BiH5,83.92,200.0,83.0,1.0,1.0,5.0
259,BiH5,88.44,250.0,83.0,1.0,1.0,5.0
260,BiH5,80.36,250.0,83.0,1.0,1.0,5.0
261,BiH5,109.31,300.0,83.0,1.0,1.0,5.0
262,BiH5,96.96,300.0,83.0,1.0,1.0,5.0
263,BiH6,88.73,200.0,83.0,1.0,1.0,6.0
264,BiH6,79.24,200.0,83.0,1.0,1.0,6.0
265,BiH6,96.43,250.0,83.0,1.0,1.0,6.0
266,BiH6,85.95,250.0,83.0,1.0,1.0,6.0
267,BiH6,101.74,300.0,83.0,1.0,1.0,6.0
268,BiH6,90.57,300.0,83.0,1.0,1.0,6.0
269,BeH2,38.0,250.0,4.0,1.0,1.0,2.0
270,BeH2,41.0,300.0,4.0,1.0,1.0,2.0
271,MgH2,16.0,180.0,12.0,1.0,1.0,2.0
272,MgH2,23.0,180.0,12.0,1.0,1.0,2.0
273,MgH4,29.0,100.0,12.0,1.0,1.0,4.0
274,MgH4,37.0,100.0,12.0,1.0,1.0,4.0
275,MgH12,47.0,140.0,12.0,1.0,1.0,12.0
276,MgH12,60.0,140.0,12.0,1.0,1.0,12.0
277,BaH6,30.0,100.0,56.0,1.0,1.0,6.0
278,BaH6,38.0,100.0,56.0,1.0,1.0,6.0
279,BaH2,0.004,60.0,56.0,1.0,1.0,2.0
280,BaH2,0.0002,60.0,56.0,1.0,1.0,2.0
281,AsH,21.2,300.0,33.0,1.0,1.0,1.0
282,AsH,20.2,400.0,33.0,1.0,1.0,1.0
283,AsH8,141.0,350.0,33.0,1.0,1.0,8.0
284,AsH8,143.9,400.0,33.0,1.0,1.0,8.0
285,AsH8,151.4,450.0,33.0,1.0,1.0,8.0
286,SbH,14.6,175.0,51.0,1.0,1.0,1.0
287,SbH,10.5,215.0,51.0,1.0,1.0,1.0
288,SbH,8.5,255.0,51.0,1.0,1.0,1.0
289,SbH,6.8,295.0,51.0,1.0,1.0,1.0
290,SbH3,25.9,300.0,51.0,1.0,1.0,3.0
291,SbH3,19.8,400.0,51.0,1.0,1.0,3.0
292,SbH4,102.2,150.0,51.0,1.0,1.0,4.0
293,SbH4,102.3,200.0,51.0,1.0,1.0,4.0
294,SbH4,99.9,250.0,51.0,1.0,1.0,4.0
295,SbH4,93.9,300.0,51.0,1.0,1.0,4.0
296,H2I,7.8,100.0,1.0,53.0,2.0,1.0
297,H2I,4.8,100.0,1.0,53.0,2.0,1.0
298,H4I,17.5,100.0,1.0,53.0,4.0,1.0
299,H4I,12.0,100.0,1.0,53.0,4.0,1.0
300,H4I,20.4,150.0,1.0,53.0,4.0,1.0
301,H4I,13.7,150.0,1.0,53.0,4.0,1.0
302,GeH4,67.0,280.0,32.0,1.0,1.0,4.0
303,GeH4,56.0,280.0,32.0,1.0,1.0,4.0
304,GeH4,63.0,300.0,32.0,1.0,1.0,4.0
305,GeH4,52.0,300.0,32.0,1.0,1.0,4.0
306,Ge3H11,43.0,285.0,32.0,1.0,3.0,11.0
307,Ge3H11,34.0,285.0,32.0,1.0,3.0,11.0
308,Ge3H11,38.0,300.0,32.0,1.0,3.0,11.0
309,Ge3H11,29.0,300.0,32.0,1.0,3.0,11.0
310,Ge3H11,35.0,320.0,32.0,1.0,3.0,11.0
311,Ge3H11,26.0,320.0,32.0,1.0,3.0,11.0
312,GeH4,47.0,250.0,32.0,1.0,1.0,4.0
313,GeH4,57.0,250.0,32.0,1.0,1.0,4.0
314,GeH4,70.0,500.0,32.0,1.0,1.0,4.0
315,GeH4,84.0,500.0,32.0,1.0,1.0,4.0
316,N4H,2.6,55.0,7.0,1.0,4.0,1.0
317,N2H,7.8,60.0,7.0,1.0,2.0,1.0
318,FeH5,51.0,130.0,26.0,1.0,1.0,5.0
319,FeH5,48.0,200.0,26.0,1.0,1.0,5.0
320,CoH,0.11,5.0,27.0,1.0,1.0,1.0
321,SeH6,39.0,150.0,34.0,1.0,1.0,6.0
322,SeH6,28.0,200.0,34.0,1.0,1.0,6.0
323,SeH6,26.0,300.0,34.0,1.0,1.0,6.0
324,SeH6,32.0,150.0,34.0,1.0,1.0,6.0
325,SeH6,22.0,200.0,34.0,1.0,1.0,6.0
326,SeH6,19.0,300.0,34.0,1.0,1.0,6.0
327,SeH6,87.0,265.0,34.0,1.0,1.0,6.0
328,SeH6,86.0,270.0,34.0,1.0,1.0,6.0
329,SeH6,56.0,300.0,34.0,1.0,1.0,6.0
330,SeH6,76.0,265.0,34.0,1.0,1.0,6.0
331,SeH6,75.0,270.0,34.0,1.0,1.0,6.0
332,SeH6,50.0,300.0,34.0,1.0,1.0,6.0
333,ScH2,4.0,300.0,21.0,1.0,1.0,2.0
334,ScH3,1.0,400.0,21.0,1.0,1.0,3.0
335,ScH4,92.0,120.0,21.0,1.0,1.0,4.0
336,ScH4,68.0,250.0,21.0,1.0,1.0,4.0
337,ScH6,29.0,250.0,21.0,1.0,1.0,6.0
338,ScH6,135.0,350.0,21.0,1.0,1.0,6.0
339,ScH7,169.0,300.0,21.0,1.0,1.0,7.0
340,ScH9,163.0,300.0,21.0,1.0,1.0,9.0
341,ScH10,120.0,250.0,21.0,1.0,1.0,10.0
342,ScH12,141.0,350.0,21.0,1.0,1.0,12.0
343,C6H6,7.18,185.0,6.0,1.0,6.0,6.0
344,C6H6,13.67,190.0,6.0,1.0,6.0,6.0
345,C6H6,15.75,195.0,6.0,1.0,6.0,6.0
346,C6H6,11.19,185.0,6.0,1.0,6.0,6.0
347,C6H6,18.13,190.0,6.0,1.0,6.0,6.0
348,C6H6,19.16,195.0,6.0,1.0,6.0,6.0
349,ScH3,0.0,135.0,21.0,1.0,1.0,3.0
350,ScH3,0.0,135.0,21.0,1.0,1.0,3.0
351,ScH4,81.0,195.0,21.0,1.0,1.0,4.0
352,ScH4,67.0,195.0,21.0,1.0,1.0,4.0
353,ScH6,75.0,145.0,21.0,1.0,1.0,6.0
354,ScH6,63.0,145.0,21.0,1.0,1.0,6.0
355,ScH6,147.0,285.0,21.0,1.0,1.0,6.0
356,ScH6,130.0,285.0,21.0,1.0,1.0,6.0
357,ScH6,122.6,130.0,21.0,1.0,1.0,6.0
358,ScH6,103.6,200.0,21.0,1.0,1.0,6.0
359,ScH6,65.59,300.0,21.0,1.0,1.0,6.0
360,ScH4,104.6,200.0,21.0,1.0,1.0,4.0
361,ScH4,90.81,250.0,21.0,1.0,1.0,4.0
362,ScH4,90.81,300.0,21.0,1.0,1.0,4.0
363,ScH8,117.1,300.0,21.0,1.0,1.0,8.0
364,ScH8,119.8,350.0,21.0,1.0,1.0,8.0
365,ScH8,150.7,400.0,21.0,1.0,1.0,8.0
366,ScH6,123.8,300.0,21.0,1.0,1.0,6.0
367,ScH6,120.9,350.0,21.0,1.0,1.0,6.0
368,ScH6,120.9,400.0,21.0,1.0,1.0,6.0
369,ScH6,100.5,300.0,21.0,1.0,1.0,6.0
370,ScH6,87.94,300.0,21.0,1.0,1.0,6.0
371,ScH9,181.8,400.0,21.0,1.0,1.0,9.0
372,ScH9,167.9,400.0,21.0,1.0,1.0,9.0
373,YH6,264.5,120.0,39.0,1.0,1.0,6.0
374,YH6,250.6,120.0,39.0,1.0,1.0,6.0
375,YH9,267.2,150.0,39.0,1.0,1.0,9.0
376,YH9,253.2,150.0,39.0,1.0,1.0,9.0
377,YH10,310.2,400.0,39.0,1.0,1.0,10.0
378,YH10,287.2,400.0,39.0,1.0,1.0,10.0
379,LaH6,170.8,100.0,57.0,1.0,1.0,6.0
380,LaH6,154.8,100.0,57.0,1.0,1.0,6.0
381,LaH9,27.99,50.0,57.0,1.0,1.0,9.0
382,LaH9,21.01,50.0,57.0,1.0,1.0,9.0
383,CeH9,53.61,100.0,58.0,1.0,1.0,9.0
384,CeH9,47.33,100.0,58.0,1.0,1.0,9.0
385,CeH10,59.75,200.0,58.0,1.0,1.0,10.0
386,CeH10,49.28,200.0,58.0,1.0,1.0,10.0
387,YH3,19.0,120.0,39.0,1.0,1.0,3.0
388,YH3,6.0,120.0,39.0,1.0,1.0,3.0
389,YH3,9.0,200.0,39.0,1.0,1.0,3.0
390,YH3,0.0,200.0,39.0,1.0,1.0,3.0
391,YH3,0.0,200.0,39.0,1.0,1.0,3.0
392,YH4,94.0,120.0,39.0,1.0,1.0,4.0
393,YH4,55.0,200.0,39.0,1.0,1.0,4.0
394,LaH4,10.0,300.0,57.0,1.0,1.0,4.0
395,LaH4,5.0,300.0,57.0,1.0,1.0,4.0
396,LaH8,131.0,300.0,57.0,1.0,1.0,8.0
397,LaH8,114.0,300.0,57.0,1.0,1.0,8.0
398,LaH10,238.0,210.0,57.0,1.0,1.0,10.0
399,LaH10,219.0,210.0,57.0,1.0,1.0,10.0
400,LaH10,232.0,250.0,57.0,1.0,1.0,10.0
401,LaH10,212.0,250.0,57.0,1.0,1.0,10.0
402,LaH10,215.0,300.0,57.0,1.0,1.0,10.0
403,LaH10,196.0,300.0,57.0,1.0,1.0,10.0
404,YH10,265.0,250.0,39.0,1.0,1.0,10.0
405,YH10,244.0,250.0,39.0,1.0,1.0,10.0
406,YH10,255.0,300.0,39.0,1.0,1.0,10.0
407,YH10,233.0,300.0,39.0,1.0,1.0,10.0
