 SeH6  ,   51,      150,    0.84,     762.78, 0.10,         39
 SeH6  ,   51,      200,    0.73,     724.34, 0.10,         28
 SeH6  ,   51,      300,    0.62,    1039.82, 0.10,         26
 SeH6  ,   51,      150,    0.84,     762.78, 0.13,         32
 SeH6  ,   51,      200,    0.73,     724.34, 0.13,         22
 SeH6  ,   51,      300,    0.62,    1039.82, 0.13,         19
 SeH6  ,   12,      265,    1.06,    1158.31, 0.10,         87
 SeH6  ,   12,      270,    1.05,    1157.37, 0.10,         86
 SeH6  ,   12,      300,    1.62,     585.26, 0.10,         56
 SeH6  ,   12,      265,    1.06,    1158.31, 0.13,         76
 SeH6  ,   12,      270,    1.05,    1157.37, 0.13,         75
 SeH6  ,   12,      300,    1.62,     585.26, 0.13,         50
 ScH2  ,  191,      300,    0.44,      543.5, 0.10,          4
 ScH3  ,  194,      400,    0.17,      571.8, 0.10,          1
 ScH4  ,  139,      120,    1.68,      734.3, 0.10,         92
 ScH4  ,  139,      250,    0.81,     1891.8, 0.10,         68
 ScH6  ,  194,      250,    0.57,     1439.8, 0.10,         29
 ScH6  ,  229,      350,    1.25,     1433.4, 0.10,        135
 ScH7  ,   63,      300,    1.84,     1245.2, 0.10,        169
 ScH9  ,  109,      300,    1.94,     1156.2, 0.10,        163
 ScH10 ,   63,      250,    1.17,     1366.8, 0.10,        120
 ScH12 ,   71,      350,    1.23,     1525.3, 0.10,        141
 C6H6  ,   14,      185,        ,      724.3, 0.13,       7.18
 C6H6  ,   14,      190,        ,      571.7, 0.13,      13.67
 C6H6  ,   14,      195,        ,      365.6, 0.13,      15.75
 C6H6  ,   14,      185,        ,      724.3, 0.10,      11.19
 C6H6  ,   14,      190,        ,      571.7, 0.10,      18.13
 C6H6  ,   14,      195,        ,      365.6, 0.10,      19.16
 ScH3  ,  225,      135,    0.23,        918, 0.10,          0
 ScH3  ,  225,      135,    0.23,        918, 0.13,          0
 ScH4  ,  139,      195,    0.89,       1340, 0.10,         81
 ScH4  ,  139,      195,    0.89,       1340, 0.13,         67
 ScH6  ,  194,      145,    0.95,       1110, 0.10,         75
 ScH6  ,  194,      145,    0.95,       1110, 0.13,         63
 ScH6  ,  229,      285,    1.33,       1300, 0.10,        147
 ScH6  ,  229,      285,    1.33,       1300, 0.13,        130
 ScH6  ,  194,      130,        ,           , 0.10,      122.6
 ScH6  ,  194,      200,        ,           , 0.10,      103.6
 ScH6  ,  194,      300,        ,           , 0.10,      65.59
 ScH4  ,  139,      200,        ,           , 0.10,      104.6
 ScH4  ,  139,      250,        ,           , 0.10,      90.81
 ScH4  ,  139,      300,        ,           , 0.10,      90.81
 ScH8  ,   71,      300,        ,           , 0.10,      117.1
 ScH8  ,   71,      350,        ,           , 0.10,      119.8
 ScH8  ,   71,      400,        ,           , 0.10,      150.7
 ScH6  ,  229,      300,        ,           , 0.10,      123.8
 ScH6  ,  229,      350,        ,           , 0.10,      120.9
 ScH6  ,  229,      400,        ,           , 0.10,      120.9
 ScH6  ,  229,      300,        ,           , 0.10,      100.5
 ScH6  ,  229,      300,        ,           , 0.13,      87.94
 ScH9  ,  194,      400,        ,           , 0.10,      181.8
 ScH9  ,  194,      400,        ,           , 0.13,      167.9
  YH6  ,  229,      120,        ,           , 0.10,      264.5
