,Tc,Z1,Z2,N1,N2,P
312,47.0,32.0,1.0,1.0,4.0,250.0
313,57.0,32.0,1.0,1.0,4.0,250.0
314,70.0,32.0,1.0,1.0,4.0,500.0
315,84.0,32.0,1.0,1.0,4.0,500.0
316,2.6,7.0,1.0,4.0,1.0,55.0
317,7.8,7.0,1.0,2.0,1.0,60.0
318,51.0,26.0,1.0,1.0,5.0,130.0
319,48.0,26.0,1.0,1.0,5.0,200.0
320,0.11,27.0,1.0,1.0,1.0,5.0
321,39.0,34.0,1.0,1.0,6.0,150.0
322,28.0,34.0,1.0,1.0,6.0,200.0
323,26.0,34.0,1.0,1.0,6.0,300.0
324,32.0,34.0,1.0,1.0,6.0,150.0
325,22.0,34.0,1.0,1.0,6.0,200.0
326,19.0,34.0,1.0,1.0,6.0,300.0
327,87.0,34.0,1.0,1.0,6.0,265.0
328,86.0,34.0,1.0,1.0,6.0,270.0
329,56.0,34.0,1.0,1.0,6.0,300.0
330,76.0,34.0,1.0,1.0,6.0,265.0
331,75.0,34.0,1.0,1.0,6.0,270.0
332,50.0,34.0,1.0,1.0,6.0,300.0
333,4.0,21.0,1.0,1.0,2.0,300.0
334,1.0,21.0,1.0,1.0,3.0,400.0
335,92.0,21.0,1.0,1.0,4.0,120.0
336,68.0,21.0,1.0,1.0,4.0,250.0
337,29.0,21.0,1.0,1.0,6.0,250.0
338,135.0,21.0,1.0,1.0,6.0,350.0
339,169.0,21.0,1.0,1.0,7.0,300.0
340,163.0,21.0,1.0,1.0,9.0,300.0
341,120.0,21.0,1.0,1.0,10.0,250.0
342,141.0,21.0,1.0,1.0,12.0,350.0
343,7.18,6.0,1.0,6.0,6.0,185.0
344,13.67,6.0,1.0,6.0,6.0,190.0
345,15.75,6.0,1.0,6.0,6.0,195.0
346,11.19,6.0,1.0,6.0,6.0,185.0
347,18.13,6.0,1.0,6.0,6.0,190.0
348,19.16,6.0,1.0,6.0,6.0,195.0
349,0.0,21.0,1.0,1.0,3.0,135.0
350,0.0,21.0,1.0,1.0,3.0,135.0
351,81.0,21.0,1.0,1.0,4.0,195.0
352,67.0,21.0,1.0,1.0,4.0,195.0
353,75.0,21.0,1.0,1.0,6.0,145.0
354,63.0,21.0,1.0,1.0,6.0,145.0
355,147.0,21.0,1.0,1.0,6.0,285.0
356,130.0,21.0,1.0,1.0,6.0,285.0
357,122.6,21.0,1.0,1.0,6.0,130.0
358,103.6,21.0,1.0,1.0,6.0,200.0
359,65.59,21.0,1.0,1.0,6.0,300.0
360,104.6,21.0,1.0,1.0,4.0,200.0
361,90.81,21.0,1.0,1.0,4.0,250.0
362,90.81,21.0,1.0,1.0,4.0,300.0
363,117.1,21.0,1.0,1.0,8.0,300.0
364,119.8,21.0,1.0,1.0,8.0,350.0
365,150.7,21.0,1.0,1.0,8.0,400.0
366,123.8,21.0,1.0,1.0,6.0,300.0
367,120.9,21.0,1.0,1.0,6.0,350.0
368,120.9,21.0,1.0,1.0,6.0,400.0
369,100.5,21.0,1.0,1.0,6.0,300.0
370,87.94,21.0,1.0,1.0,6.0,300.0
371,181.8,21.0,1.0,1.0,9.0,400.0
372,167.9,21.0,1.0,1.0,9.0,400.0
373,264.5,39.0,1.0,1.0,6.0,120.0
374,250.6,39.0,1.0,1.0,6.0,120.0
375,267.2,39.0,1.0,1.0,9.0,150.0
376,253.2,39.0,1.0,1.0,9.0,150.0
377,310.2,39.0,1.0,1.0,10.0,400.0
378,287.2,39.0,1.0,1.0,10.0,400.0
379,170.8,57.0,1.0,1.0,6.0,100.0
380,154.8,57.0,1.0,1.0,6.0,100.0
381,27.99,57.0,1.0,1.0,9.0,50.0
382,21.01,57.0,1.0,1.0,9.0,50.0
383,53.61,58.0,1.0,1.0,9.0,100.0
384,47.33,58.0,1.0,1.0,9.0,100.0
385,59.75,58.0,1.0,1.0,10.0,200.0
386,49.28,58.0,1.0,1.0,10.0,200.0
387,19.0,39.0,1.0,1.0,3.0,120.0
388,6.0,39.0,1.0,1.0,3.0,120.0
389,9.0,39.0,1.0,1.0,3.0,200.0
390,0.0,39.0,1.0,1.0,3.0,200.0
391,0.0,39.0,1.0,1.0,3.0,200.0
392,94.0,39.0,1.0,1.0,4.0,120.0
393,55.0,39.0,1.0,1.0,4.0,200.0
394,10.0,57.0,1.0,1.0,4.0,300.0
395,5.0,57.0,1.0,1.0,4.0,300.0
396,131.0,57.0,1.0,1.0,8.0,300.0
397,114.0,57.0,1.0,1.0,8.0,300.0
398,238.0,57.0,1.0,1.0,10.0,210.0
399,219.0,57.0,1.0,1.0,10.0,210.0
400,232.0,57.0,1.0,1.0,10.0,250.0
401,212.0,57.0,1.0,1.0,10.0,250.0
402,215.0,57.0,1.0,1.0,10.0,300.0
403,196.0,57.0,1.0,1.0,10.0,300.0
404,265.0,39.0,1.0,1.0,10.0,250.0
405,244.0,39.0,1.0,1.0,10.0,250.0
406,255.0,39.0,1.0,1.0,10.0,300.0
407,233.0,39.0,1.0,1.0,10.0,300.0
